thigh_Accel_X,thigh_Accel_Y,thigh_Accel_Z,thigh_Gyro_X,thigh_Gyro_Y,thigh_Gyro_Z,label_header,label_id
-8.071636707410876355e-01,7.538931609744905504e-01,1.026269267579523886e-01,-7.815599752730403305e-01,-1.766921101350619194e-01,2.054063712039110035e-01,1.431499999999999950e+01,1.000000000000000000e+00
-8.253110602677788954e-01,7.434419634768683061e-01,1.184063067725728835e-01,-7.815359674224471309e-01,-1.378392212348499846e-01,1.711462422345177425e-01,1.432000000000000028e+01,1.000000000000000000e+00
-8.564223057186973742e-01,7.446117465942462266e-01,1.342047250819977111e-01,-7.364603955360392584e-01,-1.070847074366114426e-01,1.396579396159272624e-01,1.432499999999999929e+01,1.000000000000000000e+00
-8.798193516452453844e-01,7.373826131333898193e-01,1.448758505165164134e-01,-6.393115056532321372e-01,-8.904479121091660176e-02,1.250250725956797981e-01,1.433000000000000007e+01,1.000000000000000000e+00
-8.966523361461357089e-01,7.126358916655588516e-01,1.469232304907984177e-01,-4.988414583807026514e-01,-8.392074687186432125e-02,1.179767545580839988e-01,1.433500000000000085e+01,1.000000000000000000e+00
-9.147543190712562611e-01,6.609329987495849990e-01,1.562683821100754877e-01,-2.615254739018392227e-01,-8.272591233253479004e-02,1.121448779502093873e-01,1.433999999999999986e+01,1.000000000000000000e+00
-9.207099575627075705e-01,6.152995982581750400e-01,1.671404902392947256e-01,-1.098463473170685212e-01,-9.073206882637963044e-02,9.467331789348021331e-02,1.434500000000000064e+01,1.000000000000000000e+00
-9.190065124185233802e-01,5.707567306003171748e-01,1.763398521646623585e-01,3.148346317682106099e-02,-1.033692041427445724e-01,5.907605730196392735e-02,1.434999999999999964e+01,1.000000000000000000e+00
-9.141519063486882590e-01,5.474725699424727310e-01,1.804623341835618344e-01,1.472670214176417525e-01,-1.164181706037863417e-01,2.647152299231200073e-02,1.435500000000000043e+01,1.000000000000000000e+00
-9.071573516330226905e-01,5.298446361640130053e-01,1.755329982320101290e-01,2.629062825610810616e-01,-1.259075321964423511e-01,-5.179189696253671746e-03,1.435999999999999943e+01,1.000000000000000000e+00
-8.976871008376448025e-01,5.241916029919861941e-01,1.634739101776305492e-01,3.716395877841625062e-01,-1.315937042236328125e-01,-3.487276104873274218e-02,1.436500000000000021e+01,1.000000000000000000e+00
-8.855214709534038331e-01,5.194795331485264622e-01,1.583528396353464651e-01,4.483744161851696552e-01,-1.304999266630143817e-01,-6.045083576391543922e-02,1.436999999999999922e+01,1.000000000000000000e+00
-8.755972679911974144e-01,5.077032894775538319e-01,1.525500557430236048e-01,5.223503189308403849e-01,-1.040756056025973486e-01,-7.438950857704619557e-02,1.437500000000000000e+01,1.000000000000000000e+00
-8.606628395858393343e-01,4.973811438075686486e-01,1.471104835052623461e-01,5.533414720456866220e-01,-8.408875658984182877e-02,-8.811529659539509007e-02,1.438000000000000078e+01,1.000000000000000000e+00
-8.471262416013161101e-01,4.952886473988085125e-01,1.422281817408234672e-01,5.486653599594626396e-01,-5.774430339393091249e-02,-9.791300047527305705e-02,1.438499999999999979e+01,1.000000000000000000e+00
-8.359684652590144704e-01,4.987840796492303830e-01,1.290554629371906126e-01,4.968888143580671990e-01,-3.126035165837928037e-02,-1.039095665707257254e-01,1.439000000000000057e+01,1.000000000000000000e+00
-8.396355057942586075e-01,5.028928042269307230e-01,1.171034603195621748e-01,4.268966344445719319e-01,-1.064593903720378876e-02,-1.025271431723802362e-01,1.439499999999999957e+01,1.000000000000000000e+00
-8.474489594270431247e-01,5.077171184505292478e-01,1.069702130553460417e-01,3.022383772216741260e-01,-8.181486978652924291e-03,-8.294511726741252144e-02,1.440000000000000036e+01,1.000000000000000000e+00
-8.538939891181294151e-01,5.143925892875750305e-01,8.781232911191241830e-02,1.975298128061977465e-01,-6.132303679497003342e-03,-5.567894459974130628e-02,1.440499999999999936e+01,1.000000000000000000e+00
-8.604794173691741044e-01,5.183557040289513695e-01,7.074077756822720608e-02,1.809830665588378906e-01,-6.980855017900466919e-03,-2.411167744968226168e-02,1.441000000000000014e+01,1.000000000000000000e+00
-8.612482185257082090e-01,5.323490066256555409e-01,5.914593996415448696e-02,1.868743199018219614e-01,-9.337354379045969058e-03,-4.720344482952399008e-03,1.441499999999999915e+01,1.000000000000000000e+00
-8.620475541398198160e-01,5.441458053595152888e-01,5.069841723661603489e-02,2.062896673386844792e-01,-6.011283978654665197e-03,1.019922986681790454e-02,1.441999999999999993e+01,1.000000000000000000e+00
-8.595444681987060020e-01,5.439360989137433933e-01,4.145516669198108517e-02,2.222221372978001042e-01,-8.736467781248112574e-03,2.200504533728506878e-02,1.442500000000000071e+01,1.000000000000000000e+00
-8.619402589840028384e-01,5.485887404264296885e-01,3.609638829173061197e-02,2.188367835116175331e-01,-9.290590655114779745e-03,2.629659591751198552e-02,1.442999999999999972e+01,1.000000000000000000e+00
